id;created;category_id;pattern_id;instanz_nr;atricle_nr_red;pattern_ref;order_nr;color_garn_vendor_ref;length;foto_mi;foto_ma;foto_red;owner;storage_web;storage;price_red;selled_dt;present_dt;remarks;remarks_article
1;2014-01-02;1;1;1;1.1;;;;15.5;;;1;1;;;4.00;2014-12-06;;;
2;2014-01-02;1;1;1;1.2;;;c110,c113;13.0;;;1;1;1;1;4.00;;;;
3;2014-01-02;1;1;1;1.3;;;;14.5;;;1;1;;;4.00;2014-12-06;;;
4;2014-01-02;1;1;1;1.4;;;;15.0;;;1;1;;1;4.00;;;;
5;2014-01-02;1;1;1;1.5;;;;15.0;;;1;1;;1;4.00;;;;
6;2014-02-14;1;1;1;1.6;;;;13.0;;;1;1;;;4.00;2014-10-18;;;
7;2014-02-14;1;1;1;1.7;;;;13.0;;;1;1;;;4.00;2014-07-05;;;
7;2014-02-14;1;1;2;1.7;;;c110,c106;13.0;;;1;1;1;1;4.00;;;;
9;2014-02-14;1;1;1;1.8;;;c110,c208;15.5;;;1;1;1;1;4.00;;;;
10;2014-05-01;1;1;1;1.9;;;c110,c263;13.5;;;1;1;1;1;4.00;;;;
11;2014-05-01;1;1;1;1.10;;;c128,c226;13.5;;;1;1;1;1;4.00;;;;
12;2014-06-07;1;1;1;1.11;;;;13.0;;;1;1;;;4.00;2015-04-18;;;
13;2014-06-07;1;1;1;1.12;;;;13.0;;;1;1;;;4.00;2014-09-01;;;
14;2014-06-07;1;1;1;1.13;;;c253,c385;13.0;;;1;1;1;1;4.00;;;;
15;2014-06-25;1;1;1;1.14;;;c201,c110;13.0;;;1;1;1;1;4.00;;;;
16;2014-06-25;1;1;1;1.15;;;c244,c389;13.5;;;1;1;;;4.00;2015-10-03;;;
17;2014-07-05;1;1;1;1.16;;o1;;12.0;;;1;1;;;4.00;2014-07-05;;;
17;2014-07-05;1;1;2;1.16;;o2;;12.0;;;1;1;;;4.00;2014-07-05;;;
19;2014-10-05;1;1;1;1.17;;;c110,c251;13.0;;;1;1;1;1;4.00;;;;
20;2014-10-05;1;1;1;1.18;;;c280,c241;12.5;;;1;1;1;1;4.00;;;;
21;2014-10-05;1;1;1;1.19;;;c115,c281;13.0;;;1;1;1;1;4.00;;;;
22;2014-10-05;1;1;1;1.20;;;c201,c173;13.0;;;1;1;1;1;4.00;;;;
23;2014-10-05;1;1;1;1.21;;;;13.0;;;1;1;;;4.00;2014-10-18;;;
24;2015-04-18;1;1;1;1.22;;o13;;22.0;;;;1;;;10.00;2015-04-18;;;
25;2015-04-18;1;1;1;1.23;;o14;;19.0;;;;1;;;10.00;2015-04-18;;;
26;2015-08-14;1;1;1;1.24;;;c106,g198;14.0;;;1;1;1;1;4.00;;;;
27;2014-01-02;1;2;1;2.1;;;;15.0;;;1;1;;1;9.00;;;;
28;2014-01-02;1;3;1;3.1;;;;15.0;;;1;1;;1;8.00;;;Spezielpreis einfaches Muster;
29;2014-01-02;1;4;1;4.1;7345;;;15.0;;;1;1;;;5.00;2014-07-05;;;
30;2014-07-05;1;4;1;4.2;7345;o3;;15.0;;;1;1;;;5.00;2014-07-05;;;
31;2014-09-21;1;4;1;4.3;7345;;;15.0;;;;1;;;4.00;2014-09-01;;;
31;2014-09-21;1;4;2;4.3;7345;;c105,c192;13.5;;;1;1;1;1;4.00;;;;
33;2014-10-05;1;4;1;4.4;7345;;c110,c106;14.5;;;1;1;1;1;4.00;;;;
34;2014-10-05;1;4;1;4.5;7345;;c262,c110;12.5;;;1;1;1;1;4.00;;;;
35;2014-10-05;1;4;1;4.6;7345;;c282,c226;14.0;;;1;1;1;1;4.00;;;;
36;2014-11-30;1;4;1;4.7;7345;;c106,c241;12.5;;;1;2;1;1;4.00;;;;
37;2014-11-30;1;4;1;4.8;7345;;c385,c222;12.5;;;1;1;1;1;4.00;;;;
38;2014-11-30;1;4;1;4.9;7345;;;13.5;;;1;1;1;1;4.00;;;;c119 nicht gefunden, vorher c119,c205
39;2014-12-06;1;4;1;4.10;7345;;c388,c245;13.0;;;1;1;1;1;4.00;;;;
40;2015-06-21;1;4;1;4.11;7345;;c114,c222;13.5;;;1;1;1;1;4.00;;;;
41;2015-06-21;1;4;1;4.12;7345;;c205,c192;13.0;;;1;1;1;1;4.00;;;;
42;2015-06-21;1;4;1;4.13;7345;;c201,c146;13.0;;;1;1;1;1;4.00;;;;
43;2015-06-21;1;4;1;4.14;7345;;c257,c146;13.0;;;1;1;1;1;4.00;;;;
44;2015-06-21;1;4;1;4.15;7345;;c257,c162;13.5;;;1;1;1;1;4.00;;;;
45;2015-06-21;1;4;1;4.16;7345;;c257,c110;13.0;;;1;1;1;1;4.00;;;;
46;2015-06-21;1;4;1;4.17;7345;;c106,c192;13.0;;;1;1;1;1;4.00;;;;
47;2015-06-21;1;4;1;4.18;7345;;c113,c226;13.0;;;1;1;1;1;4.00;;;;
48;2015-06-21;1;4;1;4.19;7345;;c257,c146;13.0;;;1;1;1;1;4.00;;;;
49;2015-06-21;1;4;1;4.2;7345;;c110,c222;13.0;;;1;1;1;1;4.00;;;;
50;2015-06-21;1;4;1;4.21;7345;;c257,c110;13.0;;;1;1;1;1;4.00;;;;
51;2015-06-21;1;4;1;4.22;7345;;c110,c192;13.0;;;1;1;1;1;4.00;;;;
52;2015-06-21;1;4;1;4.23;7345;;c244,c385;12.5;;;1;1;1;1;4.00;;;;
53;2015-06-21;1;4;1;4.24;7345;;c385,c259;13.0;;;1;1;1;1;4.00;;;;
54;2015-06-21;1;4;1;4.25;7345;;c114,c222;13.0;;;1;1;1;1;4.00;;;;
55;2015-07-23;1;4;1;4.26;7345;;;13.0;;;1;1;;;5.00;2015-07-01;;;
56;2015-08-14;1;4;1;4.27;7345;;c259,c385;13.0;;;1;1;1;1;4.00;;;;
57;2015-08-14;1;4;1;4.28;7345;;c388,c245;14.5;;;1;1;1;1;4.00;;;;
58;2015-08-14;1;4;1;4.29;7345;;c385,c253;13.0;;;1;1;1;1;4.00;;;;
59;2015-08-14;1;4;1;4.3;7345;;c110,c106;13.5;;;1;1;1;1;4.00;;;;
60;2015-08-14;1;4;1;4.31;7345;;c100,c208;13.5;;;1;1;1;1;4.00;;;;
61;2015-08-14;1;4;1;4.32;7345;;c105,c162;14.5;;;1;1;1;1;4.00;;;;
62;2015-08-14;1;4;1;4.33;7345;;c110,c222;13.5;;;1;1;1;1;4.00;;;;
